GEO_ID,Total population,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Name,State,County,Tract
1400000US06013339002,5203,45.4,5.8,3.7,3.1,3.2,7.8,25.9,15.7,14.7,5.7,4.2,4.4,4.1,1.7,35.4,78.3,1.6,0,11.4,0,6.2,2.5,"Census Tract 3390.02, Contra Costa County, California",6,13,339002
1400000US06013340001,5275,49.2,5,4.8,3.8,3.8,8.2,15.6,15.5,17.3,7.6,4.8,5.1,6.1,2.3,39.8,77.6,5.5,0,12.7,1,0.2,3,Census Tract 3400.01; Contra Costa County; California,6,13,340001
1400000US06013340002,6956,49.1,5.1,5.5,5.4,6.6,3.5,10.1,12.6,22,8.7,6.5,7.9,4.9,1.3,45.8,86,0.2,0,6.5,0.6,1.1,5.7,"Census Tract 3400.02, Contra Costa County, California",6,13,340002
1400000US06013341000,4858,44.4,4.6,5.8,5.2,5.1,5.9,15.1,14.3,17.9,6.7,6.7,7.2,2.6,2.7,41.4,82.5,5.7,0,7.3,0,0.3,4.2,Census Tract 3410; Contra Costa County; California,6,13,341000
1400000US06013343001,4925,49.7,6.4,3.4,5.2,8.1,5.4,18.3,11.8,15.5,7.4,5,6.3,4.3,2.9,38.1,83.9,0.6,0.8,7.4,0,5.6,1.7,Census Tract 3430.01; Contra Costa County; California,6,13,343001
1400000US06013343002,5118,46.1,7.2,3.7,4.4,4.7,7.3,6.7,13,12.8,9.9,6.7,7.2,10.6,5.9,48,80,0,0.2,13.9,0.4,0.6,4.9,Census Tract 3430.02; Contra Costa County; California,6,13,343002
1400000US06013343003,3848,47.8,4.9,8.1,5.7,6.7,2.1,4.6,15.6,23.4,6.4,9.5,7.3,4.8,1.1,46.9,89.4,1.1,0.2,6.6,0,0.9,1.7,Census Tract 3430.03; Contra Costa County; California,6,13,343003
1400000US06001400100,2701,50,5.7,3.8,4.1,2.1,0,6.8,10.8,20.9,13.6,8.8,14.6,6.1,2.6,52.4,80.4,3.2,0.5,9.9,1.4,0,4.6,Census Tract 4001; Alameda County; California,6,1,400100
1400000US06001400200,2050,44.5,8.7,8.6,1.4,1,3.7,13.3,19.3,9.4,6.8,8.2,14.2,3.8,1.7,40.5,76,3.5,0.5,10.4,0,0.4,9.1,Census Tract 4002; Alameda County; California,6,1,400200
1400000US06001400300,4719,45.3,4.9,5.1,2.4,3.4,5.3,13.2,22.6,17,6.4,6.8,4.5,7.4,1.1,42.4,76.9,11,1,6,0,2,3,Census Tract 4003; Alameda County; California,6,1,400300
1400000US06059032013,4810,44.4,4.7,4.5,5.5,6.1,7.3,14.6,13.8,13.9,5.2,3.5,8.9,7.9,4.1,40.9,85.4,0.7,0,5.2,0.2,3.6,4.8,Census Tract 320.13; Orange County; California,6,59,32013
1400000US06059032014,6783,50.1,5.6,6.3,7.2,3.6,5.5,12.6,13.7,10.2,6.6,6.3,7.3,7,8.1,41.1,58.5,0.7,1.5,9.8,0.8,28.5,0.3,Census Tract 320.14; Orange County; California,6,59,32014
1400000US06059032015,6216,50.6,3,3.8,7.1,8.8,8.5,8.3,13.3,16.7,8.1,6,7.9,6.2,2.3,43.5,71.9,2.7,0.7,11.8,0.2,10.8,1.9,Census Tract 320.15; Orange County; California,6,59,32015
1400000US06059032020,6164,49.3,5.1,7.4,8.2,9.5,3.9,14.9,13.4,16.1,7.9,6.6,4.9,1.6,0.5,35.8,80.5,1,1.2,6.4,0,8.4,2.4,Census Tract 320.20; Orange County; California,6,59,32020
1400000US06059032022,6722,49.3,12.3,6,8.5,6.5,6.3,18.9,13,11.9,5.3,2.7,4.1,2.3,2.1,30.6,63.9,1.9,0.3,6.2,0,24.3,3.3,Census Tract 320.22; Orange County; California,6,59,32022
1400000US06059032023,11498,48.4,10.9,8,7,6,3.1,11.6,20.2,14,6.1,4.4,6.4,1.8,0.5,36.2,87.2,1.1,0.6,3.7,0,4.6,2.7,"Census Tract 320.23, Orange County, California",6,59,32023
1400000US06059032027,5890,52.5,7.4,6.4,11.7,6.4,6.1,17.2,16.6,15.2,2.7,5.5,4.2,0.4,0.2,32.1,65.3,0,0.5,13.2,0,15.7,5.3,Census Tract 320.27; Orange County; California,6,59,32027
1400000US06059032028,3008,46.8,8.1,5.6,7,5.8,6.9,21.1,12.9,16.6,4.3,6.2,4.6,0.3,0.6,33.1,75.3,0.8,0.3,9,0.4,10.7,3.5,Census Tract 320.28; Orange County; California,6,59,32028
1400000US06059032029,4306,45.1,5.6,10.6,5.7,6.1,4.7,17.3,16.1,18.1,6.7,4.5,2.4,2.1,0,35,64.7,2.1,0,16.5,0,12.7,4.1,Census Tract 320.29; Orange County; California,6,59,32029
1400000US06059032030,3729,47.2,7.3,5.2,4.5,9.2,4,7.5,19.2,19.2,4.4,10.3,5.4,2.1,1.8,41.4,78.8,2.5,1.6,7.8,0,6.7,2.7,Census Tract 320.30; Orange County; California,6,59,32030
1400000US06059032031,3446,48.8,4.5,9.1,6.7,6.4,3,10.4,16,20.9,6,6.2,6.9,2.7,1.2,42.4,82.7,0.4,0,8.1,0,4.4,4.4,Census Tract 320.31; Orange County; California,6,59,32031
1400000US06059032032,3193,51.9,7.6,4.9,7.1,10.2,4.4,12.4,13.5,18,5.2,5.6,7.6,2.4,1,37.6,75.7,0.7,3.4,12.8,1.2,2.6,3.6,Census Tract 320.32; Orange County; California,6,59,32032
1400000US06059032033,3374,53,5.8,4.8,7.4,4.6,6.4,16.9,17.1,20.5,8,4.4,1.3,2.1,0.8,39.1,77.2,2,0,11.9,0,3.4,5.4,Census Tract 320.33; Orange County; California,6,59,32033
1400000US06059032034,6390,51.2,3.9,7.7,10.3,11.1,4.2,7.7,15.2,20.8,9.4,5.1,3.4,1,0.3,40.1,80.9,1.7,1.5,8.7,0,1.5,5.6,Census Tract 320.34; Orange County; California,6,59,32034
1400000US06059032035,2301,53.4,0.5,5.3,6.5,7.1,2.2,4.8,10.7,22.7,10.8,8.3,13,5.4,2.6,50.7,90.2,6.7,0,2.1,0,0.8,0.2,Census Tract 320.35; Orange County; California,6,59,32035
1400000US06059032036,3462,49.5,7.3,5.9,4.6,5.3,4.2,10.5,13.4,19.4,10.1,7.9,8.4,2.5,0.5,43.7,85.8,0,0.3,7.5,0,2.9,3.5,Census Tract 320.36; Orange County; California,6,59,32036
1400000US06059032037,4901,42,3,3.7,3.3,3.9,1.3,4.7,4.9,10.5,8,8.1,13.1,23.3,12.2,64.2,91.8,2.2,0.8,4.3,0,0.4,0.4,Census Tract 320.37; Orange County; California,6,59,32037
