Name,GEO_ID,"Less than $50,000","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 to $299,999","$300,000 to $499,999","$500,000 or more",Median (dollars),State,County,Tract
"Census Tract 452.09, Riverside County, California",1400000US06065045209,5.4,7,81.7,5.9,0,0,0,183800,6,65,45209
"Census Tract 455.02, Riverside County, California",1400000US06065045502,0,0,93.7,6.3,0,0,0,145500,6,65,45502
"Census Tract 457.04, Riverside County, California",1400000US06065045704,0,48.8,51.2,0,0,0,0,102400,6,65,45704
"Census Tract 457.05, Riverside County, California",1400000US06065045705,0,5.5,86.2,8.3,0,0,0,201400,6,65,45705
"Census Tract 53.05, Fresno County, California",1400000US06019005305,4.2,25.3,65.6,2.8,2.1,0,0,150100,6,19,5305
"Census Tract 55.03, Fresno County, California",1400000US06019005503,2.7,1.3,15.7,49.7,24,2,4.7,403000,6,19,5503
"Census Tract 55.10, Fresno County, California",1400000US06019005510,2.7,0,68.7,22.9,5.7,0,0,264000,6,19,5510
"Census Tract 758.08, Orange County, California",1400000US06059075808,0,0,3,10.2,66,18.4,2.3,639200,6,59,75808
"Census Tract 758.09, Orange County, California",1400000US06059075809,2.8,0,1.2,4.2,9.5,19.1,63.2,1115500,6,59,75809
"Census Tract 758.12, Orange County, California",1400000US06059075812,0,0,1.1,19.8,73.6,5.4,0.1,598800,6,59,75812
"Census Tract 758.14, Orange County, California",1400000US06059075814,0,0,0,9.6,14.5,46.8,29.1,888300,6,59,75814
"Census Tract 761.01, Orange County, California",1400000US06059076101,11.8,2,3.6,29.6,51.4,0,1.6,514800,6,59,76101
"Census Tract 762.01, Orange County, California",1400000US06059076201,4.5,7.6,1.1,27.4,55.6,1.2,2.7,542700,6,59,76201
"Census Tract 762.08, Orange County, California",1400000US06059076208,1.3,0,0,27.3,59.5,10.9,1,590100,6,59,76208
"Census Tract 863.04, Orange County, California",1400000US06059086304,0,1.9,0,52.3,44,1.7,0,491100,6,59,86304
"Census Tract 863.05, Orange County, California",1400000US06059086305,0.8,0,0.6,36.6,62,0,0,548300,6,59,86305
"Census Tract 867.02, Orange County, California",1400000US06059086702,0,0,24.6,52.8,20.9,1.6,0,413900,6,59,86702
"Census Tract 869.02, Orange County, California",1400000US06059086902,4,11.3,12.7,34.7,35,2.4,0,441100,6,59,86902
"Census Tract 870.02, Orange County, California",1400000US06059087002,2.6,0,10.1,80.9,6.4,0,0,373300,6,59,87002
"Census Tract 874.01, Orange County, California",1400000US06059087401,0,0,0.8,64.5,33.9,0,0.8,471400,6,59,87401
"Census Tract 874.04, Orange County, California",1400000US06059087404,0,0,0,54.3,45.7,0,0,489100,6,59,87404
"Census Tract 875.04, Orange County, California",1400000US06059087504,0,9.9,0,44.4,45.7,0,0,486500,6,59,87504
"Census Tract 877.01, Orange County, California",1400000US06059087701,0,0,16,44.8,34.5,3.3,1.3,444500,6,59,87701
"Census Tract 879.01, Orange County, California",1400000US06059087901,1.6,0,0,75.3,23.1,0,0,444400,6,59,87901
"Census Tract 883.01, Orange County, California",1400000US06059088301,3.7,6,0,43.7,46.5,0,0,484600,6,59,88301
"Census Tract 5, Sacramento County, California",1400000US06067000500,0,5.6,15.8,49.5,16.8,7.7,4.6,414600,6,67,500
"Census Tract 8, Sacramento County, California",1400000US06067000800,0,0,47.5,25,27.5,0,0,310000,6,67,800
"Census Tract 13, Sacramento County, California",1400000US06067001300,0,0,6.5,32.7,39.9,5.9,15,567600,6,67,1300
"Census Tract 21, Sacramento County, California",1400000US06067002100,0,0,28.7,60.3,0,0,11,347500,6,67,2100
"Census Tract 31.01, Sacramento County, California",1400000US06067003101,3.8,7.1,85.9,3.2,0,0,0,165400,6,67,3101
"Census Tract 1, Sacramento County, California",1400000US06067000100,1.4,0,1.3,63.7,28.6,4.2,0.8,451600,6,67,100
"Census Tract 12, Sacramento County, California",1400000US06067001200,0,0,18.1,40.3,39.6,2.1,0,467600,6,67,1200
"Census Tract 17, Sacramento County, California",1400000US06067001700,0,0,28.6,63.7,5,0,2.7,338900,6,67,1700
"Census Tract 19, Sacramento County, California",1400000US06067001900,0,0,30.7,36.3,15.8,10.2,7,431100,6,67,1900
"Census Tract 24, Sacramento County, California",1400000US06067002400,1,0,3.3,25.6,41.2,25.1,3.8,622300,6,67,2400
"Census Tract 32.02, Sacramento County, California",1400000US06067003202,9.7,20.1,67.2,3,0,0,0,144900,6,67,3202
"Census Tract 16, Monterey County, California",1400000US06053001600,0,0,4,64.4,31.5,0,0,453800,6,53,1600
"Census Tract 102.02, Monterey County, California",1400000US06053010202,1.5,1.9,4.6,30.7,47.6,10.8,2.9,559600,6,53,10202
"Census Tract 106.03, Monterey County, California",1400000US06053010603,0,0,15.2,50.3,33.1,0,1.4,431100,6,53,10603
"Census Tract 106.04, Monterey County, California",1400000US06053010604,1.8,0,21.1,64.2,12.8,0,0,370500,6,53,10604
"Census Tract 124.01, Monterey County, California",1400000US06053012401,0,0,0,9,23.9,14.2,53,1037000,6,53,12401
"Census Tract 143.01, Monterey County, California",1400000US06053014301,1.8,0,12.1,72.1,13.9,0,0,413700,6,53,14301
"Census Tract 1.04, Monterey County, California",1400000US06053000104,0,0,23.3,63.3,10.9,0.8,1.7,378800,6,53,104
"Census Tract 2, Monterey County, California",1400000US06053000200,2.2,0,57.4,36.3,2.5,0.8,0.9,283600,6,53,200
"Census Tract 12, Monterey County, California",1400000US06053001200,3.6,2.2,6.6,49.1,29.4,9,0,453400,6,53,1200
