White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,GEO_ID,Total population,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Name,State,County,Tract
49.6,10.1,0,2,0,31.8,6.5,1400000US06073003502,4537,51,6.1,10.1,9,6.8,8.7,17.1,15.6,12.5,3,3.2,4.2,3.4,0.5,30.4,"Census Tract 35.02, San Diego County, California",6,73,3502
56.3,4.4,0,1.5,0,34.6,3.1,1400000US06073003602,3213,50.9,7.3,6,8.9,12,11.5,12.1,12.4,13.2,3.5,4.5,4,3.1,1.4,27.2,"Census Tract 36.02, San Diego County, California",6,73,3602
82.3,6.1,1.2,3.3,0,3.3,3.9,1400000US06073004100,7371,55.6,6.2,6.9,7.1,1.6,8.7,33.5,16.1,9.8,2.9,2.4,0.7,1.9,2.2,30.5,"Census Tract 41, San Diego County, California",6,73,4100
67.3,12.5,0.5,4.1,0.9,11.3,3.4,1400000US06073005100,6711,60.6,4,0.3,1.2,2.2,6,25.3,18.5,17.9,5.7,9.3,7,2.4,0.3,40.8,"Census Tract 51, San Diego County, California",6,73,5100
74.5,13.4,2.2,2.9,0.7,1.2,5.2,1400000US06073006100,2280,45.5,6.8,2.2,2.5,1.4,4.6,18.2,22.7,13.3,6,5.5,11.4,5.2,0,41.1,"Census Tract 61, San Diego County, California",6,73,6100
93.4,2.4,0,1.2,0,1.7,1.3,1400000US06073007100,4701,52.7,2.7,5.2,4.4,4.5,4,8.7,8.1,13.9,6.8,9.3,17.8,10.6,4,54,"Census Tract 71, San Diego County, California",6,73,7100
90.4,0.5,0,1.5,0,3.2,4.5,1400000US06073007302,2220,51.9,7.5,4.5,3.1,3.2,4.1,7.2,17.6,14.5,10.3,7.3,13.5,3.9,3.3,46.8,"Census Tract 73.02, San Diego County, California",6,73,7302
88,0,0,2.3,0.4,0.6,8.7,1400000US06073008102,3542,49.9,5.6,6,8.4,6.7,2.3,7.3,13.6,16.1,7.1,8.4,10.3,6.3,1.8,45,"Census Tract 81.02, San Diego County, California",6,73,8102
58.3,0.7,0.5,34.3,0,1.5,4.6,1400000US06073008333,15726,47.5,4.4,8.5,8.1,8.4,3.3,12.3,18.2,21.1,8.9,1.7,3.3,1.7,0.2,37.8,"Census Tract 83.33, San Diego County, California",6,73,8333
37.6,6.1,0,15.8,0,35,5.5,1400000US06037134720,4549,49.7,5.3,5.4,5.5,6.4,9,18.4,13.8,12.6,6.5,5.6,7.5,3.4,0.7,35.1,"Census Tract 1347.20, Los Angeles County, California",6,37,134720
63.1,4.7,0,10.6,0,17.4,4.2,1400000US06037137201,6063,46.5,9.5,5.7,5,5.2,4.8,16.7,14.2,10.4,8.9,8.8,4.3,4.8,1.7,37.7,"Census Tract 1372.01, Los Angeles County, California",6,37,137201
69.5,11.5,0.6,5.6,0,5.9,6.9,1400000US06037137502,4823,49.3,7.4,5.2,5.3,5.6,5.7,10,16.2,13.5,9.1,3.9,8.6,5.8,3.7,41,"Census Tract 1375.02, Los Angeles County, California",6,37,137502
92.6,0.9,1.3,1.6,0,0.2,3.4,1400000US06037137504,2073,50.3,5.1,3.9,5.8,5.3,4.6,9.3,8.5,15.6,4.7,10.1,17.2,7,2.9,50.4,"Census Tract 1375.04, Los Angeles County, California",6,37,137504
90.4,3.1,0,3.7,0,1.1,1.7,1400000US06037139702,6230,49.4,5.1,6.9,7.8,7,3,3.5,10.6,14.1,10.9,5.4,13,9.2,3.2,49.8,"Census Tract 1397.02, Los Angeles County, California",6,37,139702
76.4,9.8,0.2,5.7,0.8,1.6,5.4,1400000US06037143500,5241,47.1,4.4,7.5,6.5,4.6,2.6,15.8,20.7,15.8,7.4,3.5,6.1,3.6,1.5,39,"Census Tract 1435, Los Angeles County, California",6,37,143500
45.3,2.3,0.2,32.7,0,14.8,4.7,1400000US06037181400,4669,47.4,5.5,2.6,4.6,7.4,3.5,17.4,14.2,12.8,8.5,6.1,7,4.8,5.4,40.4,"Census Tract 1814, Los Angeles County, California",6,37,181400
81.8,6.1,0,5,0,1.5,5.6,1400000US06037189400,3247,51.8,5.2,3.5,2.4,2.3,2.2,19.4,18.8,20.3,5.9,5.6,11.4,1.7,1.2,43.3,"Census Tract 1894, Los Angeles County, California",6,37,189400
59.5,3.3,0,10.7,0,21.9,4.6,1400000US06037185202,3729,46.7,7.7,4.6,3.2,3.9,8.3,19,16.4,14.1,5.2,3.2,8.5,3.7,2.1,36.5,"Census Tract 1852.02, Los Angeles County, California",6,37,185202
41,0.3,8.6,24.9,0,19.8,5.3,1400000US06037188300,3955,50.2,7.3,3.3,2.6,2.7,2.3,19.5,16.9,15.9,7.5,4.7,12.9,3.6,0.7,41.4,"Census Tract 1883, Los Angeles County, California",6,37,188300
75.6,2.3,0,13.2,0,6.4,2.5,1400000US06037189902,5117,56.6,0.5,0,0.5,1.4,8.4,34.9,21.9,14.7,5.1,3,4.6,1.1,3.8,36.2,"Census Tract 1899.02, Los Angeles County, California",6,37,189902
